,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12214,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19878000.0,19878000.0,False,,1,,,,2025-06-14T12:25:00.000Z,104985.83165103078,46379352185.04162,-35.7377,-0.11560391,-0.10752828,-0.3310107,2.37280148,22.77274502,27.08135271,2086908361559.1897,63.7741,2204702464671.65,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
1,1027,Ethereum,ETH,ethereum,10341,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120721164.04616433,120721164.04616433,True,,2,,,,2025-06-14T12:25:00.000Z,2532.228003776331,19588918969.17892,-50.9546,-0.23621938,-0.80732786,1.33220749,-0.8842663,55.19934471,34.81425045,305693512246.1737,9.3417,305693512246.17,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
2,825,Tether USDt,USDT,tether,132727,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,155469346382.92398,157003724943.10956,True,,3,,,,2025-06-14T12:24:00.000Z,1.0004433273276032,64032286609.56618,-46.0614,-0.00050752,0.00408583,-0.01421475,0.03511689,0.05547263,0.04770465,155538270192.78015,4.7531,157073328984.91,,2025-06-14T12:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-06-14 18:25:04.944137
3,52,XRP,XRP,xrp,1625,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,58881764070.0,99986037638.0,False,,4,,,,2025-06-14T12:25:00.000Z,2.1699011464025784,2383927772.5610695,-46.4585,-0.17138808,0.60962954,-0.80877815,-12.2411252,0.50862137,-6.06593084,127767607357.69914,3.9045,216990114640.26,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
4,1839,BNB,BNB,bnb,2581,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,140886522.42000002,140886522.42000002,False,,5,,,,2025-06-14T12:25:00.000Z,649.9923418905099,1394570398.90563,-32.416,-0.14104222,-0.51590254,0.11249808,-0.66358525,10.49765126,9.01401536,91575160648.58565,2.7985,91575160648.59,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
5,5426,Solana,SOL,solana,936,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,527628995.694366,602996825.9911828,True,,6,525236893.3,76430464562.77634,,2025-06-14T12:25:00.000Z,145.5161766771046,3213618316.4299536,-47.8746,-0.36319528,-0.13546251,-4.1813765,-15.03867922,10.16128154,11.85778227,76778554157.42462,2.3463,87745792666.67,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
6,3408,USDC,USDC,usd-coin,28650,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,61690900479.137924,61690900479.137924,False,,7,60901219650.23,60900975740.868515,,2025-06-14T12:25:00.000Z,0.9999959950003812,8857138716.340176,-45.179,0.00054131,0.02075348,0.00600303,0.02503244,0.00226998,-0.00068707,61690653407.10502,1.8852,61690653407.11,,2025-06-14T12:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-06-14 18:25:04.944137
7,74,Dogecoin,DOGE,dogecoin,1235,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,149681956383.7052,149681956383.7052,True,,8,,,,2025-06-14T12:25:00.000Z,0.1772051486295337,1077626025.0359883,-44.7541,-0.248817,0.84023209,-4.83280735,-21.79812976,11.75815577,5.44768299,26524413328.13386,0.8106,26524413328.13,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
8,1958,TRON,TRX,tron,1186,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94839500946.83119,94839509024.9583,True,,9,71659659264.0,19327431815.4151,,2025-06-14T12:25:00.000Z,0.2697114668688456,500116163.15297705,-42.4301,-0.07128554,-1.37425833,-3.74003109,0.05115406,8.73222832,26.41797678,25579300917.479115,0.7817,25579303096.24,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
9,2010,Cardano,ADA,cardano,1529,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35356538084.557686,44994989664.67408,False,,10,,,,2025-06-14T12:25:00.000Z,0.6337021062048548,549849452.7983669,-50.0917,-0.51868184,-1.26920466,-5.41412824,-17.81075504,-0.54281684,-10.57543169,22405512652.296368,0.6847,28516594779.22,,2025-06-14T12:25:00.000Z,,,,,,2025-06-14 18:25:04.944137
